antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'rolls/buns'}),frozenset({'frankfurter'}),0.3496664956387891,0.1375064135454079,0.05515649050795279,0.15774027879677183,1.147148520055628,0.007075104755671892,1.0240233086564539,0.19724232833356273
frozenset({'frankfurter'}),frozenset({'rolls/buns'}),0.1375064135454079,0.3496664956387891,0.05515649050795279,0.4011194029850746,1.147148520055628,0.007075104755671892,1.0859151350081278,0.14872376630743056
frozenset({'soda'}),frozenset({'frankfurter'}),0.3134940995382247,0.1375064135454079,0.051051821446895844,0.16284779050736498,1.1842923272345312,0.007944372151747446,1.030270931229239,0.22667522966101059
frozenset({'frankfurter'}),frozenset({'soda'}),0.1375064135454079,0.3134940995382247,0.051051821446895844,0.3712686567164179,1.1842923272345312,0.007944372151747446,1.091890690348699,0.180423234554689
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.1375064135454079,0.4581836839404823,0.06798358132375577,0.4944029850746269,1.0790497401012853,0.004980386200077347,1.0716366989221457,0.08493821063383211
frozenset({'whole milk'}),frozenset({'frankfurter'}),0.4581836839404823,0.1375064135454079,0.06798358132375577,0.14837625979843225,1.0790497401012853,0.004980386200077347,1.012763672194544,0.13520940537449977
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.10261672652642381,0.4581836839404823,0.05515649050795279,0.5375,1.1731103023516236,0.008139180714162919,1.1714947374259843,0.16443948036751888
frozenset({'whole milk'}),frozenset({'frozen vegetables'}),0.4581836839404823,0.10261672652642381,0.05515649050795279,0.12038073908174692,1.1731103023516236,0.008139180714162919,1.020195115483009,0.2723528893587031
frozenset({'other vegetables'}),frozenset({'fruit/vegetable juice'}),0.3766033863519754,0.12493586454592098,0.052591072344792204,0.1396457765667575,1.1177397064829995,0.005539802679986661,1.0170975066085415,0.16897320084311956
frozenset({'fruit/vegetable juice'}),frozenset({'other vegetables'}),0.12493586454592098,0.3766033863519754,0.052591072344792204,0.4209445585215606,1.1177397064829995,0.005539802679986661,1.076575003002085,0.12037668661647044
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.12493586454592098,0.3496664956387891,0.05361723961005644,0.4291581108829569,1.2273355218061381,0.009931353674681814,1.1392532972083085,0.2116723406822005
frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.3496664956387891,0.12493586454592098,0.05361723961005644,0.15333822450476892,1.2273355218061381,0.009931353674681814,1.0335462882356237,0.2848182856280023
frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.12493586454592098,0.4581836839404823,0.062339661364802464,0.4989733059548255,1.089024606165683,0.005096086690863297,1.0814120734466603,0.09341841271220083
frozenset({'whole milk'}),frozenset({'fruit/vegetable juice'}),0.4581836839404823,0.12493586454592098,0.062339661364802464,0.1360582306830907,1.0890246061656828,0.005096086690863297,1.0128739766176182,0.15087604439456298
frozenset({'other vegetables'}),frozenset({'margarine'}),0.3766033863519754,0.11698306824012314,0.05002565418163161,0.13283378746594005,1.135495841101391,0.005969434536557017,1.0182787555565587,0.19141500474833822
frozenset({'margarine'}),frozenset({'other vegetables'}),0.11698306824012314,0.3766033863519754,0.05002565418163161,0.4276315789473684,1.1354958411013911,0.005969434536557017,1.0891527043045948,0.13513610155097674
frozenset({'whole milk'}),frozenset({'margarine'}),0.4581836839404823,0.11698306824012314,0.059517701385325805,0.12989921612541994,1.1104104045107168,0.005917968220405349,1.014844427363668,0.18351619644723077
frozenset({'margarine'}),frozenset({'whole milk'}),0.11698306824012314,0.4581836839404823,0.059517701385325805,0.5087719298245614,1.1104104045107168,0.005917968220405349,1.1029832148354468,0.11260494099260646
frozenset({'rolls/buns'}),frozenset({'newspapers'}),0.3496664956387891,0.13981528989225245,0.05720882503848127,0.1636096845194424,1.170184495884012,0.00832010258513595,1.028448912172684,0.22362972200847334
frozenset({'newspapers'}),frozenset({'rolls/buns'}),0.13981528989225245,0.3496664956387891,0.05720882503848127,0.40917431192660547,1.170184495884012,0.00832010258513595,1.1007197511703724,0.1690728736330092
frozenset({'whole milk'}),frozenset({'newspapers'}),0.4581836839404823,0.13981528989225245,0.07234479220112879,0.15789473684210525,1.1293095123128922,0.008283707607090074,1.0214693432529502,0.21133207070707044
frozenset({'newspapers'}),frozenset({'whole milk'}),0.13981528989225245,0.4581836839404823,0.07234479220112879,0.5174311926605504,1.129309512312892,0.008283707607090074,1.1227752557126887,0.13311462372005153
frozenset({'other vegetables'}),frozenset({'pastry'}),0.3766033863519754,0.1775269368907132,0.0715751667521806,0.19005449591280654,1.0705670882487281,0.004717921150444587,1.0154671628632743,0.10573624201660817
frozenset({'pastry'}),frozenset({'other vegetables'}),0.1775269368907132,0.3766033863519754,0.0715751667521806,0.4031791907514451,1.0705670882487281,0.004717921150444587,1.044528950712913,0.08014319029955017
frozenset({'other vegetables'}),frozenset({'pip fruit'}),0.3766033863519754,0.17060030785017957,0.07234479220112879,0.19209809264305178,1.1260125791317532,0.008096138552061663,1.0266093997267591,0.1795172635204155
frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.17060030785017957,0.3766033863519754,0.07234479220112879,0.42406015037593986,1.126012579131753,0.008096138552061663,1.0823988200416093,0.13492946190987
frozenset({'other vegetables'}),frozenset({'pork'}),0.3766033863519754,0.13237557721908672,0.05566957414058492,0.14782016348773844,1.1166724753395434,0.005816483489579451,1.0181236232153323,0.16760160057651088
frozenset({'pork'}),frozenset({'other vegetables'}),0.13237557721908672,0.3766033863519754,0.05566957414058492,0.42054263565891475,1.1166724753395434,0.005816483489579451,1.0758282697069592,0.12042338539353088
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.3766033863519754,0.3496664956387891,0.14674191893278604,0.3896457765667575,1.1143354637250336,0.01505633258138983,1.065501768306091,0.16458890903335344
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.3496664956387891,0.3766033863519754,0.14674191893278604,0.41966250917094644,1.1143354637250336,0.01505633258138983,1.074196693302475,0.15777161694321457
frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.3766033863519754,0.23063109286813752,0.09415084658799384,0.25,1.0839822024471635,0.007294396015796345,1.02582520950915,0.12427983539094654
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.23063109286813752,0.3766033863519754,0.09415084658799384,0.4082313681868743,1.0839822024471635,0.007294396015796345,1.0534465332134855,0.1007002334111371
frozenset({'other vegetables'}),frozenset({'sausage'}),0.3766033863519754,0.2060030785017958,0.09286813750641354,0.24659400544959126,1.1970403900902946,0.015286680543705425,1.053876564881884,0.2640474728872518
frozenset({'sausage'}),frozenset({'other vegetables'}),0.2060030785017958,0.3766033863519754,0.09286813750641354,0.4508094645080946,1.1970403900902948,0.015286680543705425,1.1351190039894872,0.2073135247547728
frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.16829143150333503,0.3766033863519754,0.07311441765007697,0.4344512195121952,1.1536041237455972,0.009735294651899484,1.102286195560928,0.1600939424440189
frozenset({'other vegetables'}),frozenset({'shopping bags'}),0.3766033863519754,0.16829143150333503,0.07311441765007697,0.194141689373297,1.1536041237455972,0.009735294651899484,1.0320779193179241,0.2135903544870408
frozenset({'other vegetables'}),frozenset({'soda'}),0.3766033863519754,0.3134940995382247,0.1241662390969728,0.329700272479564,1.0516953045215554,0.00610329960951414,1.024177501908421,0.07884909703091529
frozenset({'soda'}),frozenset({'other vegetables'}),0.3134940995382247,0.3766033863519754,0.1241662390969728,0.3960720130932897,1.0516953045215554,0.00610329960951414,1.032236669211228,0.07160063743838721
frozenset({'other vegetables'}),frozenset({'tropical fruit'}),0.3766033863519754,0.2337095946639302,0.09132888660851719,0.24250681198910082,1.037641660958853,0.003313061835133524,1.0116135926558907,0.05819114995144975
frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.2337095946639302,0.3766033863519754,0.09132888660851719,0.39077936333699237,1.037641660958853,0.003313061835133524,1.0232690360961272,0.04733997133646566
frozenset({'other vegetables'}),frozenset({'whipped/sour cream'}),0.3766033863519754,0.15469471523858389,0.06695741405849154,0.17779291553133517,1.1493147342307537,0.00869886044888632,1.0280929229741167,0.20840073790265373
frozenset({'whipped/sour cream'}),frozenset({'other vegetables'}),0.15469471523858389,0.3766033863519754,0.06695741405849154,0.4328358208955224,1.1493147342307537,0.00869886044888632,1.0991466609057279,0.15369159123018167
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766033863519754,0.4581836839404823,0.1913801949717804,0.5081743869209809,1.1091062487222754,0.01882666802857158,1.1016431467802936,0.15780182923465622
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.4581836839404823,0.3766033863519754,0.1913801949717804,0.4176931690929451,1.1091062487222754,0.01882666802857158,1.0705637999763191,0.1815617637501016
frozenset({'other vegetables'}),frozenset({'yogurt'}),0.3766033863519754,0.28296562339661363,0.12031811185223192,0.3194822888283379,1.1290498294223583,0.013752299859869463,1.05366012497875,0.18334956610246825
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.28296562339661363,0.3766033863519754,0.12031811185223192,0.4252039891205803,1.1290498294223583,0.013752299859869463,1.0845527836810274,0.15940588394597419
frozenset({'rolls/buns'}),frozenset({'pastry'}),0.3496664956387891,0.1775269368907132,0.06952283222165213,0.19882611885546592,1.1199771839575232,0.007447610317587984,1.0265849679651629,0.16472266497812926
frozenset({'pastry'}),frozenset({'rolls/buns'}),0.1775269368907132,0.3496664956387891,0.06952283222165213,0.3916184971098266,1.1199771839575232,0.007447610317587984,1.0689567340094013,0.13024702299424756
frozenset({'soda'}),frozenset({'pastry'}),0.3134940995382247,0.1775269368907132,0.06310928681375064,0.20130932896890344,1.1339649773421756,0.007455639589417258,1.029776724507734,0.1720867208672086
frozenset({'pastry'}),frozenset({'soda'}),0.1775269368907132,0.3134940995382247,0.06310928681375064,0.35549132947976875,1.1339649773421756,0.007455639589417258,1.0651616213442792,0.14363819870263575
frozenset({'whole milk'}),frozenset({'pastry'}),0.4581836839404823,0.1775269368907132,0.09107234479220112,0.19876819708846583,1.119650913657283,0.00973239884894464,1.0265107552153643,0.197233781476739
frozenset({'pastry'}),frozenset({'whole milk'}),0.1775269368907132,0.4581836839404823,0.09107234479220112,0.5130057803468208,1.119650913657283,0.00973239884894464,1.11257237600352,0.12993067575760225
frozenset({'yogurt'}),frozenset({'pastry'}),0.28296562339661363,0.1775269368907132,0.05797845048742945,0.20489573889392568,1.154167037873587,0.007744430120457509,1.0344216517782707,0.18628714360346388
frozenset({'pastry'}),frozenset({'yogurt'}),0.1775269368907132,0.28296562339661363,0.05797845048742945,0.3265895953757225,1.154167037873587,0.007744430120457509,1.064780662252239,0.16240566636671294
frozenset({'rolls/buns'}),frozenset({'pip fruit'}),0.3496664956387891,0.17060030785017957,0.0672139558748076,0.1922230374174615,1.126744962185361,0.007560744073936698,1.0267681929157177,0.1729692699158349
frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.17060030785017957,0.3496664956387891,0.0672139558748076,0.39398496240601505,1.1267449621853607,0.007560744073936698,1.0731309687350004,0.13562545599648668
frozenset({'soda'}),frozenset({'pip fruit'}),0.3134940995382247,0.17060030785017957,0.06054386865059005,0.19312602291325698,1.132037950850941,0.007061678760154073,1.0279172655244226,0.16990005320361798
frozenset({'pip fruit'}),frozenset({'soda'}),0.17060030785017957,0.3134940995382247,0.06054386865059005,0.3548872180451128,1.1320379508509408,0.007061678760154073,1.0641641580584629,0.14062868616544438
frozenset({'whole milk'}),frozenset({'pip fruit'}),0.4581836839404823,0.17060030785017957,0.08696767573114418,0.18980963045912655,1.1125984053077824,0.008801398198968524,1.023709640759903,0.1867848842406366
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.17060030785017957,0.4581836839404823,0.08696767573114418,0.5097744360902257,1.1125984053077824,0.008801398198968524,1.1052388042318386,0.12201969548908895
frozenset({'yogurt'}),frozenset({'pip fruit'}),0.28296562339661363,0.17060030785017957,0.056695741405849154,0.20036264732547598,1.174456540262715,0.008421718943368892,1.0372197964186531,0.20716211075045135
frozenset({'pip fruit'}),frozenset({'yogurt'}),0.17060030785017957,0.28296562339661363,0.056695741405849154,0.3323308270676692,1.174456540262715,0.008421718943368892,1.0739366226154325,0.17909622627513502
frozenset({'pork'}),frozenset({'whole milk'}),0.13237557721908672,0.4581836839404823,0.06695741405849154,0.5058139534883721,1.103954530065887,0.006305084424502602,1.0963812513204358,0.10853266447793256
frozenset({'whole milk'}),frozenset({'pork'}),0.4581836839404823,0.13237557721908672,0.06695741405849154,0.14613661814109744,1.1039545300658873,0.006305084424502602,1.0161162092371878,0.17379615116684088
frozenset({'root vegetables'}),frozenset({'rolls/buns'}),0.23063109286813752,0.3496664956387891,0.09081580297588507,0.39377085650723026,1.12613264759001,0.010171836947339294,1.0727519640747312,0.14558054191321776
frozenset({'rolls/buns'}),frozenset({'root vegetables'}),0.3496664956387891,0.23063109286813752,0.09081580297588507,0.25972120322817316,1.12613264759001,0.010171836947339294,1.039296155025499,0.1722272367643945
frozenset({'sausage'}),frozenset({'rolls/buns'}),0.2060030785017958,0.3496664956387891,0.0823499230374551,0.3997509339975093,1.1432348794734346,0.010317548486929784,1.08343942739015,0.15779545946381196
frozenset({'rolls/buns'}),frozenset({'sausage'}),0.3496664956387891,0.2060030785017958,0.0823499230374551,0.235509904622157,1.1432348794734346,0.010317548486929784,1.038596740884887,0.19265362802386513
frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.16829143150333503,0.3496664956387891,0.06875320677270395,0.4085365853658537,1.16836068213947,0.00990733167289748,1.0995329352086451,0.17325770898745033
frozenset({'rolls/buns'}),frozenset({'shopping bags'}),0.3496664956387891,0.16829143150333503,0.06875320677270395,0.19662509170946443,1.16836068213947,0.00990733167289748,1.0352682911972186,0.22157849804233293
frozenset({'soda'}),frozenset({'rolls/buns'}),0.3134940995382247,0.3496664956387891,0.11980502821959979,0.3821603927986907,1.092928254680335,0.01018664503063102,1.0525927712972183,0.12385451775317446
frozenset({'rolls/buns'}),frozenset({'soda'}),0.3496664956387891,0.3134940995382247,0.11980502821959979,0.3426265590608951,1.092928254680335,0.01018664503063102,1.0443164534926337,0.1307434672613392
frozenset({'rolls/buns'}),frozenset({'tropical fruit'}),0.3496664956387891,0.2337095946639302,0.08825038481272447,0.25238444607483496,1.0799062248075815,0.006529969849426151,1.024979217343536,0.11377803770469257
frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.2337095946639302,0.3496664956387891,0.08825038481272447,0.37760702524698136,1.0799062248075815,0.006529969849426151,1.0448921031270955,0.09656087230712947
frozenset({'rolls/buns'}),frozenset({'whipped/sour cream'}),0.3496664956387891,0.15469471523858389,0.05849153412006157,0.16727806309611154,1.0813431010756929,0.004399975148745558,1.0151111040791279,0.11567009239074036
frozenset({'whipped/sour cream'}),frozenset({'rolls/buns'}),0.15469471523858389,0.3496664956387891,0.05849153412006157,0.3781094527363184,1.0813431010756929,0.004399975148745558,1.0457362750128272,0.08899049596677595
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3496664956387891,0.4581836839404823,0.17855310415597742,0.5106382978723404,1.1144838102499344,0.018341621033638428,1.1071898632520578,0.1579552925706771
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.4581836839404823,0.3496664956387891,0.17855310415597742,0.38969764837625975,1.1144838102499344,0.018341621033638428,1.0655923291643326,0.18959122474747464
frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.28296562339661363,0.3496664956387891,0.11133914828116984,0.3934723481414325,1.1252789530853293,0.012395550361830598,1.072223998969231,0.1552665638937209
frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.3496664956387891,0.28296562339661363,0.11133914828116984,0.318415260454879,1.1252789530853295,0.012395550361830598,1.0520106085149794,0.1711913396776923
frozenset({'sausage'}),frozenset({'root vegetables'}),0.2060030785017958,0.23063109286813752,0.056182657773217036,0.2727272727272727,1.1825260390332692,0.008671942644147147,1.0578822473063108,0.19439956919763057
frozenset({'root vegetables'}),frozenset({'sausage'}),0.23063109286813752,0.2060030785017958,0.056182657773217036,0.2436040044493882,1.1825260390332692,0.008671942644147147,1.0497106359218906,0.20062242969878846
